camada,fold1,fold2,fold3,fold4,fold5
block0,96.0,95.66666666666667,93.33333333333333,93.33333333333333,94.33333333333334
block1,95.33333333333334,96.66666666666667,94.0,94.0,97.0
block2,95.66666666666667,96.66666666666667,95.33333333333334,94.33333333333334,97.33333333333334
block3,96.0,94.33333333333334,94.33333333333334,95.0,96.33333333333334
block4,91.66666666666666,92.0,92.33333333333333,92.33333333333333,92.33333333333333
block5,89.0,87.66666666666667,89.66666666666666,88.0,89.33333333333333
block6,84.66666666666667,83.33333333333334,86.0,86.66666666666667,84.0
block7,83.0,83.33333333333334,86.33333333333333,83.66666666666667,84.0
block8,74.66666666666667,76.33333333333333,76.0,77.0,76.0
block9,68.0,70.0,71.0,73.0,67.66666666666666
block10,61.0,69.66666666666667,67.66666666666666,68.66666666666667,63.66666666666667
block11,63.0,61.66666666666667,62.33333333333333,66.0,61.0
