camada,fold1,fold2,fold3,fold4,fold5
block0,47.66666666666667,54.0,53.666666666666664,55.00000000000001,50.66666666666667
block1,66.33333333333333,71.33333333333334,71.66666666666667,72.0,68.0
block2,79.33333333333333,79.33333333333333,82.33333333333334,83.0,75.66666666666667
block3,86.66666666666667,87.66666666666667,89.66666666666666,89.33333333333333,86.0
block4,89.0,91.0,91.33333333333333,92.33333333333333,89.0
block5,89.33333333333333,91.66666666666666,92.66666666666666,93.33333333333333,88.0
block6,89.0,94.0,93.0,93.66666666666667,91.33333333333333
block7,95.33333333333334,94.66666666666667,94.66666666666667,96.66666666666667,93.66666666666667
block8,97.66666666666667,96.33333333333334,96.33333333333334,97.33333333333334,96.66666666666667
block9,98.0,96.66666666666667,97.66666666666667,96.66666666666667,97.0
block10,96.33333333333334,96.33333333333334,96.33333333333334,97.0,95.33333333333334
block11,96.33333333333334,96.0,96.66666666666667,96.66666666666667,94.33333333333334
