backbone,atributo,fold,acc_E,acc_D,acc_Z
vgg16,color,1,96.66666666666667,71.66666666666667,83.66666666666667
vgg16,color,2,95.0,74.33333333333333,85.66666666666667
vgg16,color,3,94.66666666666667,75.0,89.0
vgg16,color,4,94.33333333333334,69.33333333333334,85.0
vgg16,color,5,95.0,68.66666666666667,87.33333333333333
vgg16,texture,1,66.66666666666666,93.33333333333333,93.66666666666667
vgg16,texture,2,72.0,95.0,94.33333333333334
vgg16,texture,3,70.33333333333334,95.33333333333334,96.33333333333334
vgg16,texture,4,73.33333333333333,95.33333333333334,95.0
vgg16,texture,5,71.33333333333334,94.66666666666667,94.33333333333334
resnet50,color,1,96.0,87.0,93.66666666666667
resnet50,color,2,96.33333333333334,88.0,93.0
resnet50,color,3,95.0,90.33333333333333,94.33333333333334
resnet50,color,4,95.66666666666667,88.33333333333333,94.33333333333334
resnet50,color,5,96.33333333333334,87.66666666666667,95.33333333333334
resnet50,texture,1,88.33333333333333,93.0,91.66666666666666
resnet50,texture,2,91.33333333333333,93.66666666666667,94.33333333333334
resnet50,texture,3,91.33333333333333,93.33333333333333,94.33333333333334
resnet50,texture,4,93.0,93.33333333333333,95.0
resnet50,texture,5,89.33333333333333,93.0,92.33333333333333
ibot,color,1,95.66666666666667,68.0,71.66666666666667
ibot,color,2,96.66666666666667,70.0,75.0
ibot,color,3,95.33333333333334,71.0,74.33333333333333
ibot,color,4,94.33333333333334,73.0,76.0
ibot,color,5,97.33333333333334,67.66666666666666,74.66666666666667
ibot,texture,1,79.33333333333333,98.0,97.66666666666667
ibot,texture,2,79.33333333333333,96.66666666666667,96.66666666666667
ibot,texture,3,82.33333333333334,97.66666666666667,97.33333333333334
ibot,texture,4,83.0,96.66666666666667,96.66666666666667
ibot,texture,5,75.66666666666667,97.0,96.66666666666667
vmamba,color,1,94.66666666666667,94.0,94.0
vmamba,color,2,95.33333333333334,94.33333333333334,94.0
vmamba,color,3,94.0,93.66666666666667,94.33333333333334
vmamba,color,4,94.33333333333334,93.66666666666667,94.0
vmamba,color,5,95.66666666666667,94.0,94.33333333333334
vmamba,texture,1,86.66666666666667,93.66666666666667,92.66666666666666
vmamba,texture,2,89.66666666666666,94.66666666666667,94.0
vmamba,texture,3,88.66666666666667,96.0,95.66666666666667
vmamba,texture,4,90.33333333333333,95.33333333333334,94.66666666666667
vmamba,texture,5,86.66666666666667,92.0,90.0
