analise,atributo,metodo1,media1,metodo2,media2,diferenca,wilcoxon_stat,p_valor,significativo,backbone,media_individual,media_Z,media_moe
A_entre_arquiteturas,color,vgg16,95.13333333333335,resnet50,95.86666666666667,-0.7333333333333201,2.0,0.1875,ns,,,,
A_entre_arquiteturas,color,vgg16,95.13333333333335,ibot,95.8666666666667,-0.7333333333333485,2.0,0.375,ns,,,,
A_entre_arquiteturas,color,vgg16,95.13333333333335,vmamba,94.80000000000001,0.3333333333333428,3.5,0.75,ns,,,,
A_entre_arquiteturas,color,resnet50,95.86666666666667,ibot,95.8666666666667,-2.842170943040401e-14,6.0,0.75,ns,,,,
A_entre_arquiteturas,color,resnet50,95.86666666666667,vmamba,94.80000000000001,1.0666666666666629,0.0,0.0625,ns,,,,
A_entre_arquiteturas,color,ibot,95.8666666666667,vmamba,94.80000000000001,1.0666666666666913,0.0,0.125,ns,,,,
A_entre_arquiteturas,texture,vgg16,94.73333333333333,resnet50,93.26666666666667,1.4666666666666686,0.0,0.0625,ns,,,,
A_entre_arquiteturas,texture,vgg16,94.73333333333333,ibot,97.20000000000002,-2.4666666666666828,0.0,0.0625,ns,,,,
A_entre_arquiteturas,texture,vgg16,94.73333333333333,vmamba,94.33333333333334,0.3999999999999915,5.0,1.0,ns,,,,
A_entre_arquiteturas,texture,resnet50,93.26666666666667,ibot,97.20000000000002,-3.9333333333333513,0.0,0.0625,ns,,,,
A_entre_arquiteturas,texture,resnet50,93.26666666666667,vmamba,94.33333333333334,-1.066666666666677,2.5,0.25,ns,,,,
A_entre_arquiteturas,texture,ibot,97.20000000000002,vmamba,94.33333333333334,2.8666666666666742,0.0,0.0625,ns,,,,
B_fusao_vs_individual,color,,,,,-9.000000000000014,0.0,0.0625,ns,vgg16,95.13333333333335,86.13333333333334,
B_fusao_vs_individual,color,,,,,-1.73333333333332,0.0,0.0625,ns,resnet50,95.86666666666667,94.13333333333335,
B_fusao_vs_individual,color,,,,,-21.53333333333336,0.0,0.0625,ns,ibot,95.8666666666667,74.33333333333334,
B_fusao_vs_individual,color,,,,,-0.6666666666666572,1.5,0.1875,ns,vmamba,94.80000000000001,94.13333333333335,
B_fusao_vs_individual,texture,,,,,1.4210854715202004e-14,7.0,1.0,ns,vgg16,94.73333333333333,94.73333333333335,
B_fusao_vs_individual,texture,,,,,0.2666666666666657,6.0,0.8125,ns,resnet50,93.26666666666667,93.53333333333333,
B_fusao_vs_individual,texture,,,,,-0.19999999999998863,0.0,0.25,ns,ibot,97.20000000000002,97.00000000000003,
B_fusao_vs_individual,texture,,,,,-0.9333333333333371,0.0,0.0625,ns,vmamba,94.33333333333334,93.4,
C_moe_vs_individual,color,,,,,-0.9333333333333513,3.0,0.3125,ns,vgg16,95.13333333333335,,94.2
C_moe_vs_individual,color,,,,,0.0,7.0,1.0,ns,resnet50,95.86666666666667,,95.86666666666667
C_moe_vs_individual,color,,,,,2.266666666666623,0.0,0.125,ns,ibot,95.8666666666667,,98.13333333333333
C_moe_vs_individual,color,,,,,2.4000000000000057,0.0,0.0625,ns,vmamba,94.80000000000001,,97.20000000000002
C_moe_vs_individual,texture,,,,,1.0666666666666629,4.0,0.375,ns,vgg16,94.73333333333333,,95.8
C_moe_vs_individual,texture,,,,,4.466666666666683,0.0,0.0625,ns,resnet50,93.26666666666667,,97.73333333333335
C_moe_vs_individual,texture,,,,,-2.40000000000002,1.0,0.125,ns,ibot,97.20000000000002,,94.8
C_moe_vs_individual,texture,,,,,3.799999999999997,0.0,0.0625,ns,vmamba,94.33333333333334,,98.13333333333334
